mode,affinity,rmsd_lb,rmsd_ub,filename
6,-7.2,2.189,6.2620000000000005,CHEMBL249765.txt
7,-7.2,1.5859999999999999,2.167,CHEMBL249765.txt
8,-7.1,1.187,1.607,CHEMBL249765.txt
9,-7.1,1.66,5.992000000000001,CHEMBL249765.txt
1,-9.1,0.0,0.0,CHEMBL245605.txt
2,-8.4,4.11,6.162999999999999,CHEMBL245605.txt
3,-8.3,3.478,5.038,CHEMBL245605.txt
4,-8.1,4.195,5.346,CHEMBL245605.txt
5,-8.0,1.5330000000000001,1.751,CHEMBL245605.txt
6,-7.8,4.556,6.369,CHEMBL245605.txt
7,-7.7,7.034,10.491,CHEMBL245605.txt
8,-7.6,4.459,5.832000000000001,CHEMBL245605.txt
9,-7.6,4.466,7.417000000000001,CHEMBL245605.txt
1,-9.8,0.0,0.0,CHEMBL248193.txt
2,-9.1,2.736,4.665,CHEMBL248193.txt
3,-8.9,7.535,11.007,CHEMBL248193.txt
4,-8.7,1.537,1.909,CHEMBL248193.txt
5,-8.6,3.5869999999999997,7.226,CHEMBL248193.txt
6,-8.6,4.292,7.444,CHEMBL248193.txt
7,-8.5,3.695,6.507999999999999,CHEMBL248193.txt
8,-8.4,25.237,28.304000000000002,CHEMBL248193.txt
9,-8.2,7.485,11.318,CHEMBL248193.txt
1,-6.9,0.0,0.0,CHEMBL244756.txt
